Date,Time (UTC),Year,Vehicle,Payload,Payload Mass (kg),Orbit,Orbit Category
2021-05-15,22:56:00,2021,Falcon 9,Starlink: Launch 26 (52 satellites),15440,LEO,LEO (Starlink)
2021-05-26,18:59:00,2021,Falcon 9,Starlink: Launch 28 (60 satellites),15600,LEO,LEO (Starlink)
2021-06-03,17:29:00,2021,Falcon 9,SpaceX CRS-22 (Dragon C209.1),3328,LEO (ISS),LEO (Other)
2021-06-06,04:26:00,2021,Falcon 9,SXM-8[185],7000,GTO,GTO/GEO
2021-06-17,16:09:00,2021,Falcon 9,USA-319 / GPS III-05 (Neil Armstrong)[53][189],4331,MEO,MEO
2021-06-30,19:31:00,2021,Falcon 9,Transporter-2 (88 payload smallsat rideshare),0,SSO,SSO (Other)
2021-08-29,07:14:00,2021,Falcon 9,SpaceX CRS-23 (Dragon C208.2),2200,LEO (ISS),LEO (Other)
2021-09-14,03:55:00,2021,Falcon 9,Starlink: Group 2-1 (51 satellites),13260,LEO,LEO (Starlink)
2021-09-16,00:02:00,2021,Falcon 9,Inspiration4 (Crew Dragon C207.2 Resilience),12519,LEO,LEO (Other)
2021-11-11,02:03:00,2021,Falcon 9,Crew-3 (Crew Dragon C210.1 Endurance),13000,LEO (ISS),LEO (Other)
2021-11-13,12:19:00,2021,Falcon 9,Starlink: Group 4-1 (53 satellites),15635,LEO,LEO (Starlink)
2021-11-24,06:21:00,2021,Falcon 9,Double Asteroid Redirection Test (DART)[226],624,Heliocentric,Heliocentric
2021-12-02,23:12:00,2021,Falcon 9,Starlink: Group 4-3 (48 satellites),14500,LEO,LEO (Starlink)
2021-12-09,06:00:00,2021,Falcon 9,Imaging X-ray Polarimetry Explorer (IXPE)[235],325,LEO,LEO (Other)
2021-12-18,12:41:00,2021,Falcon 9,Starlink: Group 4-4 (52 satellites),15600,LEO,LEO (Starlink)
2021-12-19,03:58:00,2021,Falcon 9,Türksat 5B[240],4500,GTO,GTO/GEO
2021-12-21,10:06:00,2021,Falcon 9,SpaceX CRS-24 (Dragon C209.2),2989,LEO (ISS),LEO (Other)
2022-01-06,21:49:00,2022,Falcon 9,Starlink: Group 4-5 (49 satellites),14500,LEO,LEO (Starlink)
2022-01-13,15:25:00,2022,Falcon 9,Transporter-3 (105 payload smallsat rideshare)[253],0,SSO,SSO (Other)
2022-01-19,02:02:00,2022,Falcon 9,Starlink: Group 4-6 (49 satellites),14500,LEO,LEO (Starlink)
2022-01-31,23:11:00,2022,Falcon 9,CSG-2,2205,SSO,SSO (Other)
2022-02-02,20:27:00,2022,Falcon 9,NROL-87,0,SSO,SSO (Other)
2022-02-03,18:13:00,2022,Falcon 9,Starlink: Group 4-7 (49 satellites),14500,LEO,LEO (Starlink)
2022-02-21,14:44:00,2022,Falcon 9,Starlink: Group 4-8 (46 satellites),13600,LEO,LEO (Starlink)
2022-02-25,17:12:00,2022,Falcon 9,Starlink: Group 4-11 (50 satellites),14750,LEO,LEO (Starlink)
2022-03-03,14:25:00,2022,Falcon 9,Starlink: Group 4-9 (47 satellites),13900,LEO,LEO (Starlink)
2022-03-09,13:45:00,2022,Falcon 9,Starlink: Group 4-10 (48 satellites),14160,LEO,LEO (Starlink)
2022-03-19,04:42:00,2022,Falcon 9,Starlink: Group 4-12 (53 satellites),16250,LEO,LEO (Starlink)
2022-04-01,16:24:00,2022,Falcon 9,Transporter-4 (40 payload smallsat rideshare),0,SSO,SSO (Other)
2022-04-08,15:17:00,2022,Falcon 9,Axiom-1 (Crew Dragon C206.3 Endeavour)[285],13000,LEO (ISS),LEO (Other)
2022-04-17,13:13:00,2022,Falcon 9,NROL-85 (Intruder 13A [NOSS-3 9A] and Intruder 13B [(NOSS-3 9B])[289],0,LEO,LEO (Other)
2022-04-21,17:51:00,2022,Falcon 9,Starlink: Group 4-14 (53 satellites),16250,LEO,LEO (Starlink)
2022-04-27,07:52:00,2022,Falcon 9,Crew-4 (Crew Dragon C212.1 Freedom)[98][297],13000,LEO (ISS),LEO (Other)
2022-04-29,21:27:00,2022,Falcon 9,Starlink: Group 4-16 (53 satellites),16250,LEO,LEO (Starlink)
2022-05-06,09:46:00,2022,Falcon 9,Starlink: Group 4-17 (53 satellites),16250,LEO,LEO (Starlink)
2022-05-13,22:07:00,2022,Falcon 9,Starlink: Group 4-13 (53 satellites),16250,LEO,LEO (Starlink)
2022-05-14,20:40:00,2022,Falcon 9,Starlink: Group 4-15 (53 satellites),16250,LEO,LEO (Starlink)
2022-05-18,10:59:00,2022,Falcon 9,Starlink: Group 4-18 (53 satellites),16250,LEO,LEO (Starlink)
2022-05-25,18:35:00,2022,Falcon 9,Transporter-5 (59 payload smallsat rideshare),0,SSO,SSO (Other)
2022-06-08,21:03:00,2022,Falcon 9,Nilesat-301[309],4100,GTO,GTO/GEO
2022-06-17,16:09:00,2022,Falcon 9,Starlink: Group 4-19 (53 satellites),16250,LEO,LEO (Starlink)
2022-06-18,14:19:00,2022,Falcon 9,SARah 1,4000,SSO,SSO (Other)
2022-06-19,04:27:00,2022,Falcon 9,Globalstar-2 M087 (FM15)[319]USA 328-331,700,LEO,LEO (Other)
2022-06-29,21:04:00,2022,Falcon 9,SES-22,3500,GTO,GTO/GEO
2022-07-07,13:11:00,2022,Falcon 9,Starlink: Group 4-21 (53 satellites),16250,LEO,LEO (Starlink)
2022-07-11,01:39:00,2022,Falcon 9,Starlink: Group 3-1 (46 satellites),14100,SSO,SSO (Starlink)
2022-07-15,00:44:00,2022,Falcon 9,SpaceX CRS-25 (Dragon C208.3)[332],2668,LEO (ISS),LEO (Other)
